Layer,Name,GEOID,Longitude,Latitude,TRF_2023
,,,,,"Traffic intensity (distance-weighted vehicles), 2023"
Census tract,Tract 1906.01,17031190601,-87.78046060,41.92741460,59.80925004492926
Census tract,Tract 1906.02,17031190602,-87.77073710,41.92756040,162.8319638098773
Census tract,Tract 1907.01,17031190701,-87.76142170,41.92979590,107.4700956244482
Census tract,Tract 1907.02,17031190702,-87.76103950,41.92616310,236.32903502494344
Census tract,Tract 1908,17031190800,-87.75136240,41.92781860,175.3743104249817
Census tract,Tract 1909,17031190900,-87.74410480,41.92792250,344.1482945
Census tract,Tract 1910,17031191000,-87.74380100,41.91922970,306.63003698418663
Census tract,Tract 1911,17031191100,-87.75097630,41.91962930,179.73861273522635
Census tract,Tract 1912,17031191200,-87.76082690,41.92014320,92.15525167775328
Census tract,Tract 1913.01,17031191301,-87.78026550,41.92015220,139.5930465512524
Census tract,Tract 1913.02,17031191302,-87.77053340,41.92022890,208.9654281865587
Census tract,Tract 2001,17031200100,-87.73762260,41.93505520,59.99618092399952
Census tract,Tract 2002,17031200200,-87.73562820,41.92785230,114.53730052597056
Census tract,Tract 2003,17031200300,-87.73412640,41.92348060,297.10047671612904
Census tract,Tract 2004.01,17031200401,-87.73754190,41.91982850,47.79060749229762
Census tract,Tract 2004.02,17031200402,-87.72967890,41.91963480,161.72831355803913
Census tract,Tract 2101,17031210100,-87.70054420,41.94465710,1156.7339201845302
Census tract,Tract 2104,17031210400,-87.73030570,41.93574500,239.6150745706044
Census tract,Tract 2105.01,17031210501,-87.72233010,41.93740130,346.60219146047825
Census tract,Tract 2105.02,17031210502,-87.72205240,41.93378460,108.9638343333691
Census tract,Tract 2106.01,17031210601,-87.71221400,41.93763560,2224.266273112624
Census tract,Tract 2106.02,17031210602,-87.71257200,41.93416300,121.90154368369332
Census tract,Tract 2107,17031210700,-87.70384010,41.93570290,4652.176326788072
Census tract,Tract 2108,17031210800,-87.69893340,41.93574550,3894.703669
Census tract,Tract 2109,17031210900,-87.69311820,41.93483720,1336.0817729684543
Census tract,Tract 2203,17031220300,-87.69508630,41.92846470,1642.7252785425464
Census tract,Tract 2204,17031220400,-87.69996840,41.92843140,744.0646118464518
Census tract,Tract 2205,17031220500,-87.70498770,41.92833430,350.4432567413304
Census tract,Tract 2206.01,17031220601,-87.71288360,41.92582520,240.048415849052
Census tract,Tract 2206.02,17031220602,-87.71208600,41.92939600,76.2018981097765
Census tract,Tract 2207.01,17031220701,-87.72156510,41.92615540,220.9382549003082
Census tract,Tract 2207.02,17031220702,-87.72423130,41.92936870,125.88511877583906
Census tract,Tract 2209.01,17031220901,-87.72124830,41.91918160,66.92405465601792
Census tract,Tract 2209.02,17031220902,-87.72183570,41.92271120,224.7874109131464
Census tract,Tract 2210,17031221000,-87.71525260,41.92096040,76.5443402514967
Census tract,Tract 2211,17031221100,-87.71036090,41.92102050,135.5015256611464
Census tract,Tract 2212,17031221200,-87.70464990,41.92108310,180.05007257298575
Census tract,Tract 2213,17031221300,-87.69975410,41.92112560,130.3062075883475
Census tract,Tract 2214,17031221400,-87.69453200,41.92080130,145.73398227282422
Census tract,Tract 2215,17031221500,-87.68995130,41.92164680,785.5937350609488
Census tract,Tract 2216,17031221600,-87.68509710,41.92124780,1417.5930584083571
Census tract,Tract 2222,17031222200,-87.68382620,41.91590950,273.6408637716141
Census tract,Tract 2225,17031222500,-87.69958740,41.91568250,27.69269797
Census tract,Tract 2226,17031222600,-87.70447980,41.91563880,103.5749412
Census tract,Tract 2227,17031222700,-87.71020580,41.91550090,74.83521837730545
Census tract,Tract 2228,17031222800,-87.71509530,41.91543490,28.83465946
Census tract,Tract 2229,17031222900,-87.72007440,41.91556440,37.81191293
Census tract,Tract 2301,17031230100,-87.70436550,41.91200800,257.1674702
Census tract,Tract 2302,17031230200,-87.71008440,41.91186880,232.7895135
Census tract,Tract 2303,17031230300,-87.71498840,41.91178660,112.6814568
Census tract,Tract 2304,17031230400,-87.72155190,41.91182020,264.72829925194634
Census tract,Tract 2305,17031230500,-87.73394340,41.91168920,313.92239143059373
Census tract,Tract 2306,17031230600,-87.73399860,41.90615500,160.91119604990465
Census tract,Tract 2307,17031230700,-87.72153970,41.90632290,193.9170375387021
Census tract,Tract 2308,17031230800,-87.71495300,41.90583960,98.63025376
Census tract,Tract 2309,17031230900,-87.71035050,41.90669180,159.2358706860706
Census tract,Tract 2311,17031231100,-87.71506840,41.89925420,59.96143506
Census tract,Tract 2312,17031231200,-87.72131530,41.89906140,109.16949080878152
Census tract,Tract 2315,17031231500,-87.71865250,41.89173570,99.65060695005128
Census tract,Tract 2402,17031240200,-87.67018160,41.91244170,2580.461743
Census tract,Tract 2403,17031240300,-87.67506770,41.91236930,236.2247363
Census tract,Tract 2405,17031240500,-87.68362670,41.91196830,385.9467345
Census tract,Tract 2406,17031240600,-87.68971110,41.91213410,398.5334489
Census tract,Tract 2407,17031240700,-87.69459860,41.91208780,188.2137615
Census tract,Tract 2408,17031240800,-87.69948760,41.91204830,159.30397148778897
Census tract,Tract 2409,17031240900,-87.69862330,41.90484480,30.19698347
Census tract,Tract 2410,17031241000,-87.69453420,41.90796860,144.7633090950402
Census tract,Tract 2411,17031241100,-87.68958010,41.90664030,261.3311598144376
Census tract,Tract 2412,17031241200,-87.68468570,41.90670700,353.5874118165111
Census tract,Tract 2413,17031241300,-87.68102500,41.90677160,94.39797786
Census tract,Tract 2414,17031241400,-87.67531370,41.90603120,81.76977582334914
Census tract,Tract 2415,17031241500,-87.67092980,41.90837400,633.3297372253894
Census tract,Tract 2416,17031241600,-87.66532770,41.90670970,3425.045504457272
Census tract,Tract 2420,17031242000,-87.66495360,41.89973710,2488.126324734868
Census tract,Tract 2421,17031242100,-87.66983750,41.89966980,257.6533101420372
Census tract,Tract 2422,17031242200,-87.67471880,41.89958930,67.39028679396374
Census tract,Tract 2423,17031242300,-87.67960030,41.89950650,67.05360862757847
Census tract,Tract 2424,17031242400,-87.68449000,41.89942190,299.40280417767053
Census tract,Tract 2425,17031242500,-87.68931910,41.89944550,230.6354306999416
Census tract,Tract 2426,17031242600,-87.69419700,41.90056000,57.41734376998588
Census tract,Tract 2427,17031242700,-87.69937420,41.89742540,115.6884207
Census tract,Tract 2428,17031242800,-87.69032370,41.89263200,248.005109
Census tract,Tract 2429,17031242900,-87.68428960,41.89219550,281.80556958394493
Census tract,Tract 2430,17031243000,-87.67939810,41.89227530,59.82490316044316
Census tract,Tract 2431,17031243100,-87.67450680,41.89235460,79.61888025535347
Census tract,Tract 2432,17031243200,-87.66962380,41.89243270,268.1069038310451
Census tract,Tract 2433,17031243300,-87.66473880,41.89247810,878.5393517837102
Census tract,Tract 2434,17031243400,-87.65985400,41.89256600,4029.821472409375
Census tract,Tract 2435,17031243500,-87.65252270,41.89264940,4191.747337163506
Census tract,Tract 2502,17031250200,-87.75107300,41.91235080,314.093110963728
Census tract,Tract 2503,17031250300,-87.76085280,41.91284830,256.10570607094047
Census tract,Tract 2504,17031250400,-87.77540580,41.91290500,258.73931383599927
Census tract,Tract 2505,17031250500,-87.79679600,41.91461800,169.84034302465344
Census tract,Tract 2506,17031250600,-87.77063030,41.90569350,274.3765332124673
Census tract,Tract 2507,17031250700,-87.76081280,41.90582060,216.11353655471848
Census tract,Tract 2508,17031250800,-87.75147410,41.90618550,135.4953986364309
Census tract,Tract 2510,17031251000,-87.74489240,41.89869450,353.7637796
Census tract,Tract 2511,17031251100,-87.75201120,41.89862480,109.4159433724709
Census tract,Tract 2512,17031251200,-87.76060400,41.89854910,100.710356337335
Census tract,Tract 2513,17031251300,-87.77038490,41.89842510,166.52589134500784
Census tract,Tract 2514,17031251400,-87.77012480,41.89095740,164.74126985524336
